	MaxGSet	ModAnode	OpsGSetMax	PhaseRMS	Q0	QExternal	TripOffset	TripSlope
1L02-1	8.3		8.3	0.06	5140000000.0	6600000.0	7.032	1.672
1L02-2	11.3		11.3	0.052	3780000000.0	6040000.0	10.156	1.826
1L02-3	9.3		8.5	0.063	3310000000.0	5150000.0	8.224	1.878
1L02-4	7.9		5.1	0.05	2400000000.0	4940000.0		
1L02-5	9.5		8.6	0.056	3610000000.0	6120000.0	8.549	2.11
1L02-6	12.0		10.75	0.071	3600000000.0	8030000.0	11.482	4.315
1L02-7	8.6		8.6	0.065	3520000000.0	7220000.0	7.413	1.781
1L02-8	14.0		8.55	0.057	3990000000.0	6310000.0	11.061	0.51
1L03-1	9.1	1.5	7.7	0.054	1660000000.0	8010000.0	8.213	2.261
1L03-2	8.3	0.3	8.3	0.057	1880000000.0	6830000.0	7.257	2.054
1L03-3	10.1		10.1	0.057	4100000000.0	5480000.0	8.978	1.86
1L03-4	12.5		12.5	0.055	1350000000.0	5150000.0		
1L03-5	7.2		7.2	0.054	5250000000.0	6550000.0	6.358	2.506
1L03-6	7.4		7.4	0.052	4270000000.0	5570000.0	5.977	1.504
1L03-7	14.0		11.4	0.087	5720000000.0	7720000.0	11.148	0.64
1L03-8	9.1	0.3	9.1	0.084	5110000000.0	6330000.0	7.868	1.674
1L04-1	14.0		14.0	0.07	3490000000.0	8400000.0		
1L04-2	14.0		14.0	0.07	3430000000.0	8400000.0		
1L04-3	14.0		9.5	0.07	4250000000.0	8400000.0		
1L04-4	14.0		14.0	0.07	4550000000.0	8400000.0		
1L04-5	14.0		13.4	0.07	4510000000.0	8400000.0	15.076	2.8
1L04-6	14.0		14.0	0.07	5270000000.0	8400000.0		
1L04-7	14.0		14.0	0.07	4280000000.0	8400000.0		
1L04-8	14.0		14.0	0.07	4490000000.0	8400000.0		
1L05-1	8.0		5.0	0.065	585000000.0	8400000.0		
1L05-2	11.0		9.0	0.087	844000000.0	8400000.0		
1L05-3	12.0		10.0	0.066	1110000000.0	8400000.0		
1L05-4	9.0		8.4	0.081	2500000000.0	8400000.0		
1L05-5	7.5		7.0	0.115	1440000000.0	8400000.0		
1L05-6	11.0		10.0	0.083	1760000000.0	8400000.0		
1L05-7	7.0		6.5	0.174	2980000000.0	8400000.0		
1L05-8	5.0		4.4	0.082	1480000000.0	8400000.0		
1L06-1	14.0		13.0	0.07	1940000000.0	8400000.0		
1L06-2	14.0		12.0	0.07	4170000000.0	8400000.0		
1L06-3	11.0		10.7	0.07	4390000000.0	8400000.0		
1L06-4	14.0		12.5	0.07	2970000000.0	8400000.0		
1L06-5	13.6		9.2	0.07	3080000000.0	8400000.0		
1L06-6	14.0		14.0	0.07	2890000000.0	8400000.0		
1L06-7	14.0		13.5	0.07	5730000000.0	8400000.0		
1L06-8	10.4		9.9	0.07	4480000000.0	8400000.0		
1L07-1	12.0	0.6	12.0	0.085	1830000000.0	7800000.0		
1L07-2	6.4		6.4	0.04	1800000000.0	4470000.0	5.386	2.118
1L07-3	8.3	0.5	8.0	0.068	1430000000.0	8000000.0	5.366	0.715
1L07-4	8.0		8.0	0.048	1130000000.0	5140000.0		
1L07-5	9.2		8.8	0.044	1930000000.0	5300000.0	8.032	1.828
1L07-6	8.3		8.3	0.041	2590000000.0	4790000.0	7.443	2.522
1L07-7	10.1		9.7	0.073	2980000000.0	8400000.0	8.681	1.425
1L07-8	10.2	0.5	8.4	0.062	3500000000.0	7400000.0	8.97	1.732
1L08-1	9.6		9.6	0.105	5170000000.0	5290000.0	8.531	1.876
1L08-2	9.3		8.15	0.091	3800000000.0	4940000.0	8.655	3.169
1L08-3	14.0		13.0	0.101	4470000000.0	8900000.0	13.094	1.587
1L08-4	11.4	0.9	5.71	0.077	2990000000.0	4480000.0	9.796	1.317
1L08-5	8.1		8.1	0.127	4020000000.0	3520000.0	7.611	4.705
1L08-6	9.6		9.6	0.097	5980000000.0	5450000.0	8.454	1.8
1L08-7	9.8		9.8	0.096	3430000000.0	6370000.0	8.807	2.158
1L08-8	12.4		9.25	0.157	4540000000.0	5670000.0	9.367	0.68
1L09-1	10.0		8.2	0.058	9040000000.0	8190000.0		
1L09-2	11.2		9.7	0.069	2790000000.0	9220000.0		
1L09-3	11.4		8.0	0.043	5580000000.0	4050000.0	9.78	1.285
1L09-4	9.2		5.8	0.083	5160000000.0	7340000.0	8.195	2.031
1L09-5	10.5		9.56	0.152	6530000000.0	8460000.0		
1L09-6	11.1	1.6	10.3	0.057	5190000000.0	4360000.0		
1L09-7	8.4		8.4	0.044	5750000000.0	4400000.0	7.666	2.882
1L09-8	7.5	0.9	7.5	0.034	7920000000.0	3120000.0	6.384	1.829
1L10-1	10.9		4.6	0.048	5210000000.0	5430000.0	9.328	1.301
1L10-2	10.4		6.2	0.066	5000000000.0	7760000.0	9.216	1.718
1L10-3	10.1		9.3	0.051	6820000000.0	4780000.0	8.963	1.794
1L10-4	9.7		6.3	0.042	4770000000.0	4590000.0	8.402	1.648
1L10-5	7.6		5.9	0.07	5310000000.0	4510000.0	6.979	3.546
1L10-6	12.3	0.5	9.56	0.046	5320000000.0	5550000.0	10.358	1.05
1L10-7	7.9		7.76	0.032	2600000000.0	3660000.0	6.947	2.078
1L10-8	10.2		6.33	0.058	3920000000.0	7890000.0	9.002	1.72
1L11-1	14.0		14.0	0.067	3660000000.0	7960000.0		
1L11-2	14.0		11.0	0.106	2430000000.0	8400000.0		
1L11-3	10.5		10.5	0.054	3260000000.0	8400000.0	12.037	3.218
1L11-4	12.0		12.0	0.08	3010000000.0	8400000.0		
1L11-5	12.9		10.0	0.085	1720000000.0	8400000.0		
1L11-6	12.9	1.1	12.9	0.076	2520000000.0	8400000.0		
