	MaxGSet	ModAnode	OpsGSetMax	PhaseRMS	Q0	QExternal	TripOffset	TripSlope
2L02-1	9.1		8.5	0.043	3300000000.0	5070000.0	6.486	0.787
2L02-2	9.6		9.6	0.098	3650000000.0	7800000.0	8.081	1.342
2L02-3	9.1		9.1	0.043	3840000000.0	5450000.0	7.638	1.408
2L02-4	9.0		8.5	0.046	4220000000.0	4970000.0	8.142	2.523
2L02-5	9.0		9.0	0.048	4040000000.0	5160000.0	7.744	1.613
2L02-6	10.7		10.7	0.048	3850000000.0	5640000.0	8.666	1.012
2L02-7	9.0		6.8	0.097	3140000000.0	8100000.0	7.778	1.686
2L02-8	8.7	1.2	7.7	0.04	2980000000.0	4700000.0	7.864	2.595
2L03-1	14.0		10.5	0.066	2210000000.0	8100000.0	18.139	0.654
2L03-2	13.0		11.0	0.071	1630000000.0	7310000.0		
2L03-3	11.8		11.5	0.067	4910000000.0	8910000.0	11.184	3.245
2L03-4	9.9	0.5	9.9	0.059	6180000000.0	6580000.0		
2L03-5	9.9		9.9	0.052	1870000000.0	5720000.0	8.604	1.582
2L03-6	9.0		8.8	0.047	5530000000.0	4790000.0	7.626	1.544
2L03-7	9.6		5.0	0.07	4590000000.0	8210000.0	8.431	1.763
2L03-8	11.6	0.9	11.6	0.071	2850000000.0	5800000.0	10.045	1.298
2L04-1	14.0		12.0	0.083	4390000000.0	8400000.0		
2L04-2	14.0		6.0	0.094	3390000000.0	8400000.0		
2L04-3	14.0		14.0	0.068	3740000000.0	8400000.0	17.001	2.377
2L04-4	14.0		12.4	0.102	4400000000.0	8400000.0		
2L04-5	14.0		12.46	0.101	3630000000.0	8400000.0	15.412	2.212
2L04-6	14.0		14.0	0.073	6210000000.0	8400000.0	14.067	12.868
2L04-7	13.7		13.0	0.129	5690000000.0	8400000.0	16.054	2.753
2L04-8	14.0		14.0	0.08	5370000000.0	8400000.0		
2L05-1	5.9		5.9	0.051	4690000000.0	4960000.0	4.621	1.608
2L05-2	9.3		9.3	0.054	4460000000.0	6190000.0	5.743	0.585
2L05-3	8.2		8.2	0.096	8030000000.0	9000000.0	6.516	1.223
2L05-4	9.8		9.6	0.09	8490000000.0	7800000.0	8.375	1.469
2L05-5	7.9		7.5	0.073	2430000000.0	5830000.0	7.045	2.342
2L05-6	5.1		4.7	0.041	7920000000.0	5170000.0	4.07	2.112
2L05-7	6.4		4.1	0.076	3880000000.0	8300000.0	5.272	1.82
2L05-8	9.5		6.95	0.053	2030000000.0	7700000.0	6.597	0.705
2L06-1	5.9		5.9	0.038	5970000000.0	4720000.0	4.993	2.425
2L06-2	9.8	0.6	9.8	0.065	4780000000.0	5590000.0	8.626	1.718
2L06-3	8.1		8.1	0.044	5790000000.0	5780000.0	7.637	4.913
2L06-4	6.25		6.25	0.07	6440000000.0	5670000.0		
2L06-5	12.8		7.0	0.07	1800000000.0	7600000.0	11.738	1.955
2L06-6	10.4		10.4	0.062	4780000000.0	8000000.0	7.149	0.646
2L06-7	7.0		6.8	0.049	4670000000.0	5690000.0		
2L06-8	10.1		1.5	0.045	5730000000.0	5020000.0	8.879	1.64
2L07-1	14.0		12.0	0.093	2680000000.0	8400000.0		
2L07-2	14.0		12.0	0.081	3060000000.0	8400000.0		
2L07-3	14.0		12.0	0.08	3330000000.0	8400000.0		
2L07-4	14.0	0.6	10.866	0.09	2960000000.0	8400000.0		
2L07-5	14.0		13.2	0.078	3320000000.0	8400000.0		
2L07-6	14.0		14.0	0.079	2670000000.0	8400000.0		
2L07-7	14.0		10.3	0.106	2680000000.0	8400000.0		
2L07-8	14.0		6.0	0.082	3070000000.0	8400000.0		
2L08-1	8.4		8.4	0.111	2410000000.0	8500000.0		
2L08-2	9.0		6.8	0.04	2940000000.0	5340000.0	8.165	2.505
2L08-3	14.0	1.2	11.0	0.045	2550000000.0	5160000.0		
