	MaxGSet	OpsGSetMax	PhaseRMS	TripOffset	TripSlope	Q0	Length
2L02-1	9.1	8.5	0.043	6.486	0.787	3300000000.0	0.5
2L02-2	9.6	9.6	0.098	8.081	1.342	3650000000.0	0.5
2L02-3	9.1	9.1	0.043	7.638	1.408	3840000000.0	0.5
2L02-4	9.0	8.5	0.046	8.142	2.523	4220000000.0	0.5
2L02-5	9.0	9.0	0.048	7.744	1.613	4040000000.0	0.5
2L02-6	10.7	10.7	0.048	8.666	1.012	3850000000.0	0.5
2L02-7	9.0	6.8	0.097	7.778	1.686	3140000000.0	0.5
2L02-8	8.7	7.7	0.04	7.864	2.595	2980000000.0	0.5
2L03-1	14.0	10.5	0.066	18.139	0.654	2210000000.0	0.5
2L03-2	13.0	11.0	0.071	0.0	0.0	1630000000.0	0.5
2L03-3	11.8	11.5	0.067	11.184	3.245	4910000000.0	0.5
2L03-4	9.9	9.9	0.059	0.0	0.0	6180000000.0	0.5
2L03-5	9.9	9.9	0.052	8.604	1.582	1870000000.0	0.5
2L03-6	9.0	8.8	0.047	7.626	1.544	5530000000.0	0.5
2L03-7	9.6	5.0	0.07	8.431	1.763	4590000000.0	0.5
2L03-8	11.6	11.6	0.071	10.045	1.298	2850000000.0	0.5
2L04-1	14.0	12.0	0.083	0.0	0.0	4390000000.0	0.5
2L04-2	14.0	6.0	0.094	0.0	0.0	3390000000.0	0.5
2L04-3	14.0	14.0	0.068	17.001	2.377	3740000000.0	0.5
2L04-4	14.0	12.4	0.102	0.0	0.0	4400000000.0	0.5
2L04-5	14.0	12.46	0.101	15.412	2.212	3630000000.0	0.5
2L04-6	14.0	14.0	0.073	14.067	12.868	6210000000.0	0.5
2L04-7	13.7	13.0	0.129	16.054	2.753	5690000000.0	0.5
2L04-8	14.0	14.0	0.08	0.0	0.0	5370000000.0	0.5
2L05-1	5.9	5.9	0.051	4.621	1.608	4690000000.0	0.5
2L05-2	9.3	9.3	0.054	5.743	0.585	4460000000.0	0.5
2L05-3	8.2	8.2	0.096	6.516	1.223	8030000000.0	0.5
2L05-4	9.8	9.6	0.09	8.375	1.469	8490000000.0	0.5
2L05-5	7.9	7.5	0.073	7.045	2.342	2430000000.0	0.5
2L05-6	5.1	4.7	0.041	4.07	2.112	7920000000.0	0.5
2L05-7	6.4	4.1	0.076	5.272	1.82	3880000000.0	0.5
2L05-8	9.5	6.95	0.053	6.597	0.705	2030000000.0	0.5
2L06-1	5.9	5.9	0.038	4.993	2.425	5970000000.0	0.5
2L06-2	9.8	9.8	0.065	8.626	1.718	4780000000.0	0.5
2L06-3	8.1	8.1	0.044	7.637	4.913	5790000000.0	0.5
2L06-4	6.25	6.25	0.07	0.0	0.0	6440000000.0	0.5
2L06-5	12.8	7.0	0.07	11.738	1.955	1800000000.0	0.5
2L06-6	10.4	10.4	0.062	7.149	0.646	4780000000.0	0.5
2L06-7	7.0	6.8	0.049	0.0	0.0	4670000000.0	0.5
2L06-8	10.1	10.1	0.045	8.879	1.64	5730000000.0	0.5
2L07-1	14.0	12.0	0.093	0.0	0.0	2680000000.0	0.5
2L07-2	14.0	12.0	0.081	0.0	0.0	3060000000.0	0.5
2L07-3	14.0	12.0	0.08	0.0	0.0	3330000000.0	0.5
2L07-4	14.0	10.866	0.09	0.0	0.0	2960000000.0	0.5
2L07-5	14.0	13.2	0.078	0.0	0.0	3320000000.0	0.5
2L07-6	14.0	14.0	0.079	0.0	0.0	2670000000.0	0.5
2L07-7	14.0	10.3	0.106	0.0	0.0	2680000000.0	0.5
2L07-8	14.0	6.0	0.082	0.0	0.0	3070000000.0	0.5
2L08-1	8.4	8.4	0.111	0.0	0.0	2410000000.0	0.5
2L08-2	9.0	6.8	0.04	8.165	2.505	2940000000.0	0.5
2L08-3	14.0	11.0	0.045	0.0	0.0	2550000000.0	0.5
2L08-4	13.6	10.4	0.06	12.139	1.461	820000000.0	0.5
2L08-5	14.0	10.1	0.065	11.763	0.919	6330000000.0	0.5
2L08-6	8.7	8.7	0.053	7.337	1.491	5930000000.0	0.5
2L08-7	14.0	10.2	0.049	0.0	0.0	4210000000.0	0.5
2L08-8	6.4	6.4	0.07	0.0	0.0	4570000000.0	0.5
2L09-1	14.0	14.0	0.09	0.0	0.0	2630000000.0	0.5
2L09-2	14.0	8.0	0.07	0.0	0.0	1260000000.0	0.5
2L09-3	14.0	14.0	0.092	0.0	0.0	3160000000.0	0.5
2L09-4	14.0	12.0	0.096	0.0	0.0	2680000000.0	0.5
2L09-5	14.0	10.9	0.095	0.0	0.0	2290000000.0	0.5
2L09-6	14.0	8.64	0.098	0.0	0.0	2250000000.0	0.5
2L09-7	14.0	14.0	0.079	0.0	0.0	2560000000.0	0.5
2L09-8	14.0	13.65	0.089	0.0	0.0	2530000000.0	0.5
2L10-1	14.0	10.8	0.044	0.0	0.0	3760000000.0	0.5
2L10-2	14.0	10.4	0.053	0.0	0.0	4530000000.0	0.5
2L10-3	14.0	14.0	0.074	0.0	0.0	95500000.0	0.5
2L10-4	14.0	10.0	0.046	0.0	0.0	3320000000.0	0.5
2L10-5	14.0	10.7	0.06	0.0	0.0	3480000000.0	0.5
2L10-6	11.0	9.4	0.055	0.0	0.0	4450000000.0	0.5
2L10-7	14.0	12.0	0.065	0.0	0.0	3070000000.0	0.5
2L10-8	14.0	10.0	0.07	0.0	0.0	4400000000.0	0.5
2L11-1	13.1	12.2	0.089	11.548	1.343	11500000000.0	0.5
2L11-2	11.6	11.1	0.064	9.227	0.881	4160000000.0	0.5
2L11-3	11.0	10.6	0.075	9.181	1.163	2370000000.0	0.5
2L11-4	9.1	9.1	0.059	8.08	2.136	3610000000.0	0.5
2L11-5	14.0	12.3	0.068	0.0	0.0	2590000000.0	0.5
2L11-6	11.4	11.4	0.068	9.949	1.434	2610000000.0	0.5
2L11-7	10.7	10.7	0.07	9.395	1.584	6250000000.0	0.5
2L11-8	7.8	7.8	0.043	6.807	2.061	5060000000.0	0.5
2L12-1	5.9	5.9	0.127	5.467	4.833	4610000000.0	0.5
2L12-2	12.3	8.6	0.062	9.367	0.721	5750000000.0	0.5
2L12-3	9.6	9.6	0.077	9.289	6.34	6630000000.0	0.5
2L12-4	8.8	8.8	0.086	8.121	3.233	5320000000.0	0.5
2L12-5	14.0	5.8	0.084	0.0	0.0	2790000000.0	0.5
2L12-6	14.0	5.8	0.071	11.984	0.539	5920000000.0	0.5
2L12-7	14.0	8.0	0.071	0.0	0.0	4220000000.0	0.5
2L12-8	13.0	5.0	0.055	11.309	1.209	5730000000.0	0.5
2L13-1	8.4	8.1	0.084	0.0	0.0	5450000000.0	0.5
2L13-2	9.8	8.2	0.099	8.302	1.416	5470000000.0	0.5
2L13-3	10.4	10.4	0.066	8.886	1.415	5840000000.0	0.5
2L13-4	12.9	11.9	0.098	9.379	0.583	2660000000.0	0.5
2L13-5	14.0	10.0	0.131	0.0	0.0	2360000000.0	0.5
2L13-6	7.3	7.3	0.092	0.0	0.0	2220000000.0	0.5
2L13-7	12.2	11.6	0.069	10.451	1.182	5440000000.0	0.5
2L13-8	10.4	10.4	0.047	8.827	1.298	5720000000.0	0.5
2L14-1	10.1	9.1	0.081	9.055	1.983	1830000000.0	0.5
2L14-2	11.9	8.5	0.056	10.427	1.381	4550000000.0	0.5
2L14-3	12.0	5.0	0.057	10.432	1.347	5120000000.0	0.5
2L14-4	13.5	10.0	0.066	11.596	1.119	1210000000.0	0.5
2L14-5	10.7	9.3	0.069	9.274	1.474	8240000000.0	0.5
2L14-6	14.0	11.2	0.099	15.534	0.547	4140000000.0	0.5
2L14-7	12.8	11.2	0.082	11.334	1.41	2390000000.0	0.5
2L14-8	8.9	8.9	0.062	7.73	1.813	6130000000.0	0.5
2L15-1	14.0	11.6	0.07	0.0	0.0	2910000000.0	0.5
2L15-2	14.0	10.3	0.07	0.0	0.0	2700000000.0	0.5
2L15-3	14.0	13.3	0.07	0.0	0.0	4190000000.0	0.5
2L15-4	14.0	9.6	0.07	0.0	0.0	1960000000.0	0.5
2L15-5	14.0	14.0	0.07	0.0	0.0	8190000000.0	0.5
2L15-6	14.0	9.1	0.07	0.0	0.0	4650000000.0	0.5
2L15-7	14.0	12.5	0.07	0.0	0.0	4560000000.0	0.5
2L15-8	14.0	8.3	0.07	0.0	0.0	4920000000.0	0.5
2L16-1	14.0	9.8	0.094	0.0	0.0	1930000000.0	0.5
2L16-2	14.0	8.0	0.084	0.0	0.0	1550000000.0	0.5
2L16-3	14.0	9.1	0.082	0.0	0.0	2090000000.0	0.5
2L16-4	14.0	10.0	0.062	0.0	0.0	743000000.0	0.5
2L16-5	14.0	5.0	0.076	0.0	0.0	4370000000.0	0.5
2L16-6	14.0	8.0	0.055	0.0	0.0	1660000000.0	0.5
2L16-7	14.0	11.7	0.097	0.0	0.0	1380000000.0	0.5
2L16-8	14.0	9.9	0.149	0.0	0.0	1920000000.0	0.5
2L17-1	10.8	10.8	0.07	8.22	0.816	6350000000.0	0.5
2L17-2	10.3	10.3	0.071	8.092	0.949	3900000000.0	0.5
2L17-3	11.5	11.5	0.131	10.247	1.602	6600000000.0	0.5
2L17-4	12.3	12.3	0.092	11.352	2.246	3400000000.0	0.5
2L17-5	8.7	4.3	0.069	8.425	7.916	4040000000.0	0.5
2L17-6	12.3	12.0	0.067	10.314	1.044	4050000000.0	0.5
2L17-7	8.8	7.5	0.063	7.706	1.884	3460000000.0	0.5
2L17-8	11.4	8.7	0.063	8.202	0.656	1740000000.0	0.5
2L18-1	14.0	14.0	0.07	0.0	0.0	3950000000.0	0.5
2L18-2	12.8	9.1	0.082	11.187	1.282	4720000000.0	0.5
2L18-3	14.0	9.95	0.094	14.229	0.869	2710000000.0	0.5
2L18-4	12.5	12.5	0.095	10.719	1.14	4180000000.0	0.5
2L18-5	10.8	10.8	0.088	9.408	1.523	4330000000.0	0.5
2L18-6	7.5	3.0	0.084	2.322	0.402	4310000000.0	0.5
2L18-7	13.3	9.5	0.08	11.77	1.326	1090000000.0	0.5
2L18-8	14.0	10.5	0.086	0.0	0.0	3580000000.0	0.5
2L19-1	9.7	9.7	0.066	8.702	2.008	4220000000.0	0.5
2L19-2	11.1	11.1	0.13	9.459	1.266	3840000000.0	0.5
2L19-3	11.9	11.9	0.15	9.419	0.839	3360000000.0	0.5
2L19-4	9.9	9.9	0.158	8.324	1.329	4530000000.0	0.5
2L19-5	11.0	11.0	0.09	9.553	1.469	4290000000.0	0.5
2L19-6	7.6	7.6	0.057	6.547	2.021	3220000000.0	0.5
2L19-7	12.1	8.7	0.118	10.37	1.205	3790000000.0	0.5
2L19-8	12.1	12.1	0.123	9.692	0.852	3850000000.0	0.5
2L20-1	11.6	11.6	0.054	9.652	1.069	3060000000.0	0.5
2L20-2	12.5	9.0	0.09	11.114	1.546	2870000000.0	0.5
2L20-3	10.6	6.9	0.109	9.276	1.541	3520000000.0	0.5
2L20-4	8.7	8.7	0.054	7.423	1.652	3670000000.0	0.5
2L20-5	11.1	11.1	0.075	9.407	1.216	5950000000.0	0.5
2L20-6	11.1	11.1	0.063	9.745	1.533	1720000000.0	0.5
2L20-7	8.0	8.0	0.055	6.762	1.713	3450000000.0	0.5
2L20-8	10.9	10.9	0.067	8.861	1.008	3780000000.0	0.5
2L21-1	10.1	6.913	0.084	8.378	1.229	4120000000.0	0.5
2L21-2	8.6	5.767	0.132	7.16	1.41	3930000000.0	0.5
2L21-3	10.0	10.0	0.162	8.354	1.262	4380000000.0	0.5
2L21-4	10.3	10.3	0.146	8.615	1.252	5590000000.0	0.5
2L21-5	14.0	5.8	0.103	0.0	0.0	7200000000.0	0.5
2L21-6	12.7	12.7	0.101	0.0	0.0	1910000000.0	0.5
2L21-7	10.6	10.6	0.133	9.9	3.025	2740000000.0	0.5
2L21-8	12.0	12.0	0.154	11.274	2.777	4010000000.0	0.5
2L22-1	21.08	12.5	0.1	0.0	0.0	5300000000.0	0.7
2L22-2	19.35	16.0	0.1	0.0	0.0	5960000000.0	0.7
2L22-3	24.18	17.85	0.1	0.0	0.0	6680000000.0	0.7
2L22-4	22.6	17.0	0.1	0.0	0.0	4710000000.0	0.7
2L22-5	24.45	12.0	0.1	0.0	0.0	8710000000.0	0.7
2L22-6	20.93	12.0	0.1	0.0	0.0	5130000000.0	0.7
2L22-7	19.63	12.0	0.1	0.0	0.0	6210000000.0	0.7
2L22-8	25.0	12.0	0.1	0.0	0.0	8050000000.0	0.7
2L23-1	21.78	17.3	0.1	0.0	0.0	6910000000.0	0.7
2L23-2	21.5	16.0	0.1	0.0	0.0	6380000000.0	0.7
2L23-3	22.4	17.5	0.1	0.0	0.0	7310000000.0	0.7
2L23-4	21.33	15.0	0.1	0.0	0.0	4590000000.0	0.7
2L23-5	21.85	16.0	0.1	0.0	0.0	6960000000.0	0.7
2L23-6	20.25	16.5	0.1	0.0	0.0	5970000000.0	0.7
2L23-7	20.63	14.8	0.1	0.0	0.0	6200000000.0	0.7
2L23-8	23.33	15.0	0.1	0.0	0.0	4990000000.0	0.7
2L24-1	21.18	14.0	0.1	0.0	0.0	6450000000.0	0.7
2L24-2	21.7	14.0	0.1	0.0	0.0	6730000000.0	0.7
2L24-3	22.75	17.0	0.1	0.0	0.0	7150000000.0	0.7
2L24-4	20.73	17.0	0.1	0.0	0.0	5690000000.0	0.7
2L24-5	22.05	20.0	0.1	0.0	0.0	7070000000.0	0.7
2L24-6	25.0	21.0	0.1	0.0	0.0	4130000000.0	0.7
2L24-7	21.75	8.0	0.1	0.0	0.0	6290000000.0	0.7
2L24-8	21.15	9.0	0.1	0.0	0.0	5120000000.0	0.7
2L25-1	25.0	17.0	0.1	0.0	0.0	10000000000.0	0.7
2L25-2	22.63	17.0	0.1	0.0	0.0	8190000000.0	0.7
2L25-3	21.7	14.0	0.1	0.0	0.0	7530000000.0	0.7
2L25-4	19.95	17.0	0.1	0.0	0.0	6370000000.0	0.7
2L25-5	22.05	15.0	0.1	0.0	0.0	7780000000.0	0.7
2L25-6	22.38	15.0	0.1	0.0	0.0	8010000000.0	0.7
2L25-7	19.85	10.53	0.1	0.0	0.0	6300000000.0	0.7
2L25-8	19.55	11.5	0.1	0.0	0.0	6120000000.0	0.7
2L26-1	21.78	16.0	0.1	0.0	0.0	7590000000.0	0.7
2L26-2	25.0	14.0	0.1	0.0	0.0	11300000000.0	0.7
2L26-3	22.68	14.0	0.1	0.0	0.0	7080000000.0	0.7
2L26-4	21.15	16.0	0.1	0.0	0.0	7160000000.0	0.7
2L26-5	21.83	16.5	0.1	0.0	0.0	7430000000.0	0.7
2L26-6	25.0	17.0	0.1	0.0	0.0	8100000000.0	0.7
2L26-7	22.45	16.0	0.1	0.0	0.0	8060000000.0	0.7
2L26-8	21.83	14.0	0.1	0.0	0.0	5410000000.0	0.7
